complaint_id,shipment_id,customer_id,product_id,complaint_datetime,complaint_text,sentiment_label,named_entities,resolution_status
CMP-000029,SHP-000764,CUST-0097,PRD-031,2026-07-24 18:00:00,wrong label on carton created receiving delay. Product=Connector 031; shipment=SHP-000764; probable root cause=production_delay.,negative,PRODUCT:PRD-031;SHIPMENT:SHP-000764;CAUSE:production_delay,closed
CMP-000030,SHP-003620,CUST-0024,PRD-041,2025-09-20 17:00:00,late delivery caused line stoppage at customer site. Product=Control Board 041; shipment=SHP-003620; probable root cause=production_delay.,negative,PRODUCT:PRD-041;SHIPMENT:SHP-003620;CAUSE:production_delay,under_review
CMP-000031,SHP-002225,CUST-0066,PRD-008,2026-03-26 13:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 008; shipment=SHP-002225; probable root cause=production_delay.,negative,PRODUCT:PRD-008;SHIPMENT:SHP-002225;CAUSE:production_delay,closed
CMP-000032,SHP-002270,CUST-0112,PRD-043,2026-04-11 14:00:00,dimension deviation found during final assembly. Product=Industrial Switch 043; shipment=SHP-002270; probable root cause=quality_hold.,negative,PRODUCT:PRD-043;SHIPMENT:SHP-002270;CAUSE:quality_hold,under_review
CMP-000033,SHP-003302,CUST-0001,PRD-061,2026-06-09 09:00:00,wrong label on carton created receiving delay. Product=Industrial Switch 061; shipment=SHP-003302; probable root cause=on_time.,negative,PRODUCT:PRD-061;SHIPMENT:SHP-003302;CAUSE:on_time,closed
CMP-000034,SHP-004955,CUST-0066,PRD-001,2026-07-24 16:00:00,dimension deviation found during final assembly. Product=Sensor Module 001; shipment=SHP-004955; probable root cause=on_time.,negative,PRODUCT:PRD-001;SHIPMENT:SHP-004955;CAUSE:on_time,open
CMP-000035,SHP-003823,CUST-0095,PRD-015,2026-02-26 14:00:00,technical support resolved the issue quickly. Product=Industrial Switch 015; shipment=SHP-003823; probable root cause=on_time.,positive,PRODUCT:PRD-015;SHIPMENT:SHP-003823;CAUSE:on_time,closed
CMP-000036,SHP-003897,CUST-0007,PRD-009,2026-07-11 08:00:00,technical support resolved the issue quickly. Product=Power Unit 009; shipment=SHP-003897; probable root cause=logistics.,positive,PRODUCT:PRD-009;SHIPMENT:SHP-003897;CAUSE:logistics,open
CMP-000037,SHP-002154,CUST-0044,PRD-027,2026-06-30 13:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 027; shipment=SHP-002154; probable root cause=production_delay.,negative,PRODUCT:PRD-027;SHIPMENT:SHP-002154;CAUSE:production_delay,under_review
CMP-000038,SHP-004572,CUST-0030,PRD-061,2026-04-25 12:00:00,packaging was damaged but components passed inspection. Product=Industrial Switch 061; shipment=SHP-004572; probable root cause=production_delay.,neutral,PRODUCT:PRD-061;SHIPMENT:SHP-004572;CAUSE:production_delay,closed
CMP-000039,SHP-000080,CUST-0018,PRD-027,2025-10-29 12:00:00,surface scratch detected on incoming parts. Product=Power Unit 027; shipment=SHP-000080; probable root cause=material_shortage.,negative,PRODUCT:PRD-027;SHIPMENT:SHP-000080;CAUSE:material_shortage,under_review
CMP-000040,SHP-000025,CUST-0077,PRD-059,2025-10-19 19:00:00,technical support resolved the issue quickly. Product=Control Board 059; shipment=SHP-000025; probable root cause=on_time.,positive,PRODUCT:PRD-059;SHIPMENT:SHP-000025;CAUSE:on_time,under_review
CMP-000041,SHP-005086,CUST-0067,PRD-068,2025-11-28 16:00:00,late delivery caused line stoppage at customer site. Product=Connector 068; shipment=SHP-005086; probable root cause=logistics.,negative,PRODUCT:PRD-068;SHIPMENT:SHP-005086;CAUSE:logistics,closed
CMP-000042,SHP-001731,CUST-0040,PRD-040,2025-12-21 14:00:00,surface scratch detected on incoming parts. Product=Control Board 040; shipment=SHP-001731; probable root cause=production_delay.,negative,PRODUCT:PRD-040;SHIPMENT:SHP-001731;CAUSE:production_delay,open
CMP-000043,SHP-004270,CUST-0020,PRD-011,2026-07-06 17:00:00,delivery arrived early and quality was acceptable. Product=Industrial Switch 011; shipment=SHP-004270; probable root cause=on_time.,positive,PRODUCT:PRD-011;SHIPMENT:SHP-004270;CAUSE:on_time,closed
CMP-000044,SHP-000060,CUST-0043,PRD-024,2026-07-05 08:00:00,late delivery caused line stoppage at customer site. Product=Connector 024; shipment=SHP-000060; probable root cause=on_time.,negative,PRODUCT:PRD-024;SHIPMENT:SHP-000060;CAUSE:on_time,closed
CMP-000045,SHP-001959,CUST-0016,PRD-007,2026-03-18 18:00:00,late delivery caused line stoppage at customer site. Product=Control Board 007; shipment=SHP-001959; probable root cause=logistics.,negative,PRODUCT:PRD-007;SHIPMENT:SHP-001959;CAUSE:logistics,closed
CMP-000046,SHP-002880,CUST-0119,PRD-013,2026-04-07 19:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 013; shipment=SHP-002880; probable root cause=logistics.,negative,PRODUCT:PRD-013;SHIPMENT:SHP-002880;CAUSE:logistics,under_review
CMP-000047,SHP-002315,CUST-0005,PRD-010,2026-01-28 11:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 010; shipment=SHP-002315; probable root cause=production_delay.,negative,PRODUCT:PRD-010;SHIPMENT:SHP-002315;CAUSE:production_delay,closed
CMP-000048,SHP-004641,CUST-0006,PRD-005,2025-11-29 09:00:00,packaging was damaged but components passed inspection. Product=Industrial Switch 005; shipment=SHP-004641; probable root cause=on_time.,neutral,PRODUCT:PRD-005;SHIPMENT:SHP-004641;CAUSE:on_time,under_review
CMP-000049,SHP-000026,CUST-0114,PRD-080,2025-10-26 13:00:00,late delivery caused line stoppage at customer site. Product=Metal Housing 080; shipment=SHP-000026; probable root cause=quality_hold.,negative,PRODUCT:PRD-080;SHIPMENT:SHP-000026;CAUSE:quality_hold,open
CMP-000050,SHP-001292,CUST-0038,PRD-053,2026-01-14 14:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 053; shipment=SHP-001292; probable root cause=logistics.,negative,PRODUCT:PRD-053;SHIPMENT:SHP-001292;CAUSE:logistics,closed
CMP-000051,SHP-001314,CUST-0082,PRD-006,2026-04-19 13:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 006; shipment=SHP-001314; probable root cause=production_delay.,negative,PRODUCT:PRD-006;SHIPMENT:SHP-001314;CAUSE:production_delay,closed
CMP-000052,SHP-003963,CUST-0106,PRD-047,2026-06-19 08:00:00,late delivery caused line stoppage at customer site. Product=Metal Housing 047; shipment=SHP-003963; probable root cause=logistics.,negative,PRODUCT:PRD-047;SHIPMENT:SHP-003963;CAUSE:logistics,under_review
CMP-000053,SHP-001329,CUST-0097,PRD-050,2025-11-14 11:00:00,wrong label on carton created receiving delay. Product=Control Board 050; shipment=SHP-001329; probable root cause=on_time.,negative,PRODUCT:PRD-050;SHIPMENT:SHP-001329;CAUSE:on_time,under_review
CMP-000054,SHP-004110,CUST-0024,PRD-042,2026-02-11 14:00:00,surface scratch detected on incoming parts. Product=Connector 042; shipment=SHP-004110; probable root cause=production_delay.,negative,PRODUCT:PRD-042;SHIPMENT:SHP-004110;CAUSE:production_delay,closed
CMP-000055,SHP-003040,CUST-0030,PRD-038,2026-05-24 14:00:00,late delivery caused line stoppage at customer site. Product=Connector 038; shipment=SHP-003040; probable root cause=logistics.,negative,PRODUCT:PRD-038;SHIPMENT:SHP-003040;CAUSE:logistics,open
CMP-000056,SHP-004351,CUST-0099,PRD-053,2025-12-10 14:00:00,wrong label on carton created receiving delay. Product=Industrial Switch 053; shipment=SHP-004351; probable root cause=production_delay.,negative,PRODUCT:PRD-053;SHIPMENT:SHP-004351;CAUSE:production_delay,closed
CMP-000057,SHP-003542,CUST-0099,PRD-027,2026-07-11 13:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 027; shipment=SHP-003542; probable root cause=material_shortage.,negative,PRODUCT:PRD-027;SHIPMENT:SHP-003542;CAUSE:material_shortage,open
CMP-000058,SHP-002188,CUST-0005,PRD-057,2026-04-12 11:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 057; shipment=SHP-002188; probable root cause=production_delay.,negative,PRODUCT:PRD-057;SHIPMENT:SHP-002188;CAUSE:production_delay,under_review
CMP-000059,SHP-000556,CUST-0030,PRD-069,2025-11-14 15:00:00,packaging was damaged but components passed inspection. Product=Sensor Module 069; shipment=SHP-000556; probable root cause=logistics.,neutral,PRODUCT:PRD-069;SHIPMENT:SHP-000556;CAUSE:logistics,closed
CMP-000060,SHP-004053,CUST-0011,PRD-002,2026-07-23 08:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 002; shipment=SHP-004053; probable root cause=material_shortage.,negative,PRODUCT:PRD-002;SHIPMENT:SHP-004053;CAUSE:material_shortage,closed
CMP-000061,SHP-001605,CUST-0113,PRD-035,2025-11-11 16:00:00,delivery arrived early and quality was acceptable. Product=Sensor Module 035; shipment=SHP-001605; probable root cause=on_time.,positive,PRODUCT:PRD-035;SHIPMENT:SHP-001605;CAUSE:on_time,under_review
CMP-000062,SHP-000021,CUST-0026,PRD-005,2025-11-18 13:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 005; shipment=SHP-000021; probable root cause=on_time.,negative,PRODUCT:PRD-005;SHIPMENT:SHP-000021;CAUSE:on_time,under_review
CMP-000063,SHP-001632,CUST-0110,PRD-003,2026-03-22 09:00:00,delivery arrived early and quality was acceptable. Product=Power Unit 003; shipment=SHP-001632; probable root cause=production_delay.,positive,PRODUCT:PRD-003;SHIPMENT:SHP-001632;CAUSE:production_delay,open
CMP-000064,SHP-004147,CUST-0045,PRD-077,2025-11-06 16:00:00,late delivery caused line stoppage at customer site. Product=Control Board 077; shipment=SHP-004147; probable root cause=production_delay.,negative,PRODUCT:PRD-077;SHIPMENT:SHP-004147;CAUSE:production_delay,closed
CMP-000065,SHP-003765,CUST-0095,PRD-062,2025-09-30 10:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 062; shipment=SHP-003765; probable root cause=production_delay.,negative,PRODUCT:PRD-062;SHIPMENT:SHP-003765;CAUSE:production_delay,under_review
CMP-000066,SHP-003970,CUST-0100,PRD-058,2025-12-04 14:00:00,technical support resolved the issue quickly. Product=Sensor Module 058; shipment=SHP-003970; probable root cause=on_time.,positive,PRODUCT:PRD-058;SHIPMENT:SHP-003970;CAUSE:on_time,open
CMP-000067,SHP-000649,CUST-0036,PRD-074,2025-09-10 11:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 074; shipment=SHP-000649; probable root cause=production_delay.,negative,PRODUCT:PRD-074;SHIPMENT:SHP-000649;CAUSE:production_delay,closed
CMP-000068,SHP-004998,CUST-0020,PRD-077,2025-10-01 14:00:00,late delivery caused line stoppage at customer site. Product=Control Board 077; shipment=SHP-004998; probable root cause=production_delay.,negative,PRODUCT:PRD-077;SHIPMENT:SHP-004998;CAUSE:production_delay,closed
CMP-000069,SHP-004700,CUST-0056,PRD-012,2026-06-14 13:00:00,late delivery caused line stoppage at customer site. Product=Connector 012; shipment=SHP-004700; probable root cause=production_delay.,negative,PRODUCT:PRD-012;SHIPMENT:SHP-004700;CAUSE:production_delay,closed
CMP-000070,SHP-000671,CUST-0114,PRD-050,2026-04-13 15:00:00,surface scratch detected on incoming parts. Product=Control Board 050; shipment=SHP-000671; probable root cause=quality_hold.,negative,PRODUCT:PRD-050;SHIPMENT:SHP-000671;CAUSE:quality_hold,closed
CMP-000071,SHP-002789,CUST-0089,PRD-061,2025-11-26 17:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 061; shipment=SHP-002789; probable root cause=production_delay.,negative,PRODUCT:PRD-061;SHIPMENT:SHP-002789;CAUSE:production_delay,closed
CMP-000072,SHP-002595,CUST-0030,PRD-066,2025-12-30 09:00:00,late delivery caused line stoppage at customer site. Product=Metal Housing 066; shipment=SHP-002595; probable root cause=material_shortage.,negative,PRODUCT:PRD-066;SHIPMENT:SHP-002595;CAUSE:material_shortage,open
CMP-000073,SHP-005183,CUST-0117,PRD-073,2025-11-21 14:00:00,late delivery caused line stoppage at customer site. Product=Connector 073; shipment=SHP-005183; probable root cause=material_shortage.,negative,PRODUCT:PRD-073;SHIPMENT:SHP-005183;CAUSE:material_shortage,open
CMP-000074,SHP-001943,CUST-0061,PRD-070,2025-11-28 09:00:00,wrong label on carton created receiving delay. Product=Industrial Switch 070; shipment=SHP-001943; probable root cause=production_delay.,negative,PRODUCT:PRD-070;SHIPMENT:SHP-001943;CAUSE:production_delay,closed
CMP-000075,SHP-000327,CUST-0116,PRD-029,2025-12-29 14:00:00,late delivery caused line stoppage at customer site. Product=Connector 029; shipment=SHP-000327; probable root cause=production_delay.,negative,PRODUCT:PRD-029;SHIPMENT:SHP-000327;CAUSE:production_delay,open
CMP-000076,SHP-001519,CUST-0031,PRD-032,2025-12-28 10:00:00,late delivery caused line stoppage at customer site. Product=Connector 032; shipment=SHP-001519; probable root cause=production_delay.,negative,PRODUCT:PRD-032;SHIPMENT:SHP-001519;CAUSE:production_delay,closed
CMP-000077,SHP-001917,CUST-0054,PRD-036,2026-04-10 11:00:00,late delivery caused line stoppage at customer site. Product=Connector 036; shipment=SHP-001917; probable root cause=quality_hold.,negative,PRODUCT:PRD-036;SHIPMENT:SHP-001917;CAUSE:quality_hold,closed
CMP-000078,SHP-004411,CUST-0075,PRD-003,2025-12-28 17:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 003; shipment=SHP-004411; probable root cause=material_shortage.,negative,PRODUCT:PRD-003;SHIPMENT:SHP-004411;CAUSE:material_shortage,closed
CMP-000079,SHP-001616,CUST-0120,PRD-043,2025-10-14 08:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 043; shipment=SHP-001616; probable root cause=on_time.,negative,PRODUCT:PRD-043;SHIPMENT:SHP-001616;CAUSE:on_time,closed
CMP-000080,SHP-002456,CUST-0101,PRD-035,2026-06-25 19:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 035; shipment=SHP-002456; probable root cause=production_delay.,negative,PRODUCT:PRD-035;SHIPMENT:SHP-002456;CAUSE:production_delay,closed
CMP-000081,SHP-002179,CUST-0043,PRD-011,2025-10-31 14:00:00,wrong label on carton created receiving delay. Product=Industrial Switch 011; shipment=SHP-002179; probable root cause=on_time.,negative,PRODUCT:PRD-011;SHIPMENT:SHP-002179;CAUSE:on_time,closed
CMP-000082,SHP-002710,CUST-0035,PRD-034,2026-05-19 17:00:00,delivery arrived early and quality was acceptable. Product=Power Unit 034; shipment=SHP-002710; probable root cause=production_delay.,positive,PRODUCT:PRD-034;SHIPMENT:SHP-002710;CAUSE:production_delay,under_review
CMP-000083,SHP-000117,CUST-0036,PRD-080,2026-08-02 15:00:00,late delivery caused line stoppage at customer site. Product=Metal Housing 080; shipment=SHP-000117; probable root cause=production_delay.,negative,PRODUCT:PRD-080;SHIPMENT:SHP-000117;CAUSE:production_delay,closed
CMP-000084,SHP-003755,CUST-0028,PRD-074,2026-04-19 12:00:00,surface scratch detected on incoming parts. Product=Sensor Module 074; shipment=SHP-003755; probable root cause=on_time.,negative,PRODUCT:PRD-074;SHIPMENT:SHP-003755;CAUSE:on_time,closed
CMP-000085,SHP-005165,CUST-0103,PRD-018,2026-06-16 14:00:00,technical support resolved the issue quickly. Product=Sensor Module 018; shipment=SHP-005165; probable root cause=on_time.,positive,PRODUCT:PRD-018;SHIPMENT:SHP-005165;CAUSE:on_time,closed
CMP-000086,SHP-004374,CUST-0039,PRD-067,2026-07-14 12:00:00,technical support resolved the issue quickly. Product=Sensor Module 067; shipment=SHP-004374; probable root cause=on_time.,positive,PRODUCT:PRD-067;SHIPMENT:SHP-004374;CAUSE:on_time,closed
CMP-000087,SHP-002801,CUST-0001,PRD-075,2026-04-18 17:00:00,dimension deviation found during final assembly. Product=Industrial Switch 075; shipment=SHP-002801; probable root cause=on_time.,negative,PRODUCT:PRD-075;SHIPMENT:SHP-002801;CAUSE:on_time,under_review
CMP-000088,SHP-001565,CUST-0019,PRD-079,2025-09-27 17:00:00,late delivery caused line stoppage at customer site. Product=Connector 079; shipment=SHP-001565; probable root cause=production_delay.,negative,PRODUCT:PRD-079;SHIPMENT:SHP-001565;CAUSE:production_delay,closed
CMP-000089,SHP-002152,CUST-0118,PRD-002,2026-01-13 09:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 002; shipment=SHP-002152; probable root cause=logistics.,negative,PRODUCT:PRD-002;SHIPMENT:SHP-002152;CAUSE:logistics,closed
CMP-000090,SHP-002473,CUST-0004,PRD-063,2026-05-08 17:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 063; shipment=SHP-002473; probable root cause=quality_hold.,negative,PRODUCT:PRD-063;SHIPMENT:SHP-002473;CAUSE:quality_hold,under_review
CMP-000091,SHP-000175,CUST-0012,PRD-014,2026-03-01 12:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 014; shipment=SHP-000175; probable root cause=production_delay.,negative,PRODUCT:PRD-014;SHIPMENT:SHP-000175;CAUSE:production_delay,closed
CMP-000092,SHP-003645,CUST-0035,PRD-005,2026-05-07 15:00:00,packaging was damaged but components passed inspection. Product=Industrial Switch 005; shipment=SHP-003645; probable root cause=quality_hold.,neutral,PRODUCT:PRD-005;SHIPMENT:SHP-003645;CAUSE:quality_hold,open
CMP-000093,SHP-001080,CUST-0077,PRD-003,2025-09-27 14:00:00,dimension deviation found during final assembly. Product=Power Unit 003; shipment=SHP-001080; probable root cause=quality_hold.,negative,PRODUCT:PRD-003;SHIPMENT:SHP-001080;CAUSE:quality_hold,closed
CMP-000094,SHP-000458,CUST-0035,PRD-038,2026-01-21 10:00:00,wrong label on carton created receiving delay. Product=Connector 038; shipment=SHP-000458; probable root cause=production_delay.,negative,PRODUCT:PRD-038;SHIPMENT:SHP-000458;CAUSE:production_delay,open
CMP-000095,SHP-002074,CUST-0098,PRD-065,2026-03-29 11:00:00,late delivery caused line stoppage at customer site. Product=Connector 065; shipment=SHP-002074; probable root cause=material_shortage.,negative,PRODUCT:PRD-065;SHIPMENT:SHP-002074;CAUSE:material_shortage,under_review
CMP-000096,SHP-000381,CUST-0048,PRD-002,2026-01-30 09:00:00,wrong label on carton created receiving delay. Product=Sensor Module 002; shipment=SHP-000381; probable root cause=production_delay.,negative,PRODUCT:PRD-002;SHIPMENT:SHP-000381;CAUSE:production_delay,closed
CMP-000097,SHP-003603,CUST-0097,PRD-039,2026-06-30 19:00:00,packaging was damaged but components passed inspection. Product=Industrial Switch 039; shipment=SHP-003603; probable root cause=on_time.,neutral,PRODUCT:PRD-039;SHIPMENT:SHP-003603;CAUSE:on_time,under_review
CMP-000098,SHP-002212,CUST-0112,PRD-032,2026-06-20 08:00:00,late delivery caused line stoppage at customer site. Product=Connector 032; shipment=SHP-002212; probable root cause=logistics.,negative,PRODUCT:PRD-032;SHIPMENT:SHP-002212;CAUSE:logistics,closed
CMP-000099,SHP-000680,CUST-0111,PRD-008,2025-10-19 15:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 008; shipment=SHP-000680; probable root cause=on_time.,negative,PRODUCT:PRD-008;SHIPMENT:SHP-000680;CAUSE:on_time,closed
CMP-000100,SHP-001996,CUST-0016,PRD-065,2026-07-22 18:00:00,late delivery caused line stoppage at customer site. Product=Connector 065; shipment=SHP-001996; probable root cause=quality_hold.,negative,PRODUCT:PRD-065;SHIPMENT:SHP-001996;CAUSE:quality_hold,closed
CMP-000101,SHP-000112,CUST-0025,PRD-061,2026-04-22 17:00:00,technical support resolved the issue quickly. Product=Industrial Switch 061; shipment=SHP-000112; probable root cause=production_delay.,positive,PRODUCT:PRD-061;SHIPMENT:SHP-000112;CAUSE:production_delay,closed
CMP-000102,SHP-001301,CUST-0040,PRD-041,2025-08-27 13:00:00,late delivery caused line stoppage at customer site. Product=Control Board 041; shipment=SHP-001301; probable root cause=material_shortage.,negative,PRODUCT:PRD-041;SHIPMENT:SHP-001301;CAUSE:material_shortage,open
CMP-000103,SHP-000110,CUST-0026,PRD-055,2025-12-26 08:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 055; shipment=SHP-000110; probable root cause=production_delay.,negative,PRODUCT:PRD-055;SHIPMENT:SHP-000110;CAUSE:production_delay,closed
