maintenance_id,machine_id,event_datetime,maintenance_type,failure_code,symptom_text,repair_action,downtime_minutes,parts_cost,labor_hours,technician_id,failure_severity,source_system
MT-000049,MCH-007,2025-12-03 11:36:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,56.58,4729.48,3.59,TECH-001,low,CMMS
MT-000050,MCH-007,2026-01-09 11:13:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,139.05,5320.47,5.41,TECH-009,low,CMMS
MT-000051,MCH-007,2026-03-05 09:17:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,65.57,4109.72,1.53,TECH-005,low,CMMS
MT-000052,MCH-007,2026-04-25 11:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,176.89,6284.69,4.08,TECH-011,low,CMMS
MT-000053,MCH-007,2026-06-01 19:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,80.68,3826.7,4.62,TECH-007,low,CMMS
MT-000054,MCH-007,2026-07-26 13:42:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,78.83,2574.7,2.01,TECH-018,low,CMMS
MT-000055,MCH-007,2026-06-02 21:51:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,172.26,46949.58,16.79,TECH-005,critical,CMMS
MT-000056,MCH-008,2025-09-22 18:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,88.76,2359.24,5.06,TECH-006,low,CMMS
MT-000057,MCH-008,2025-11-29 09:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,177.9,3284.28,1.83,TECH-007,low,CMMS
MT-000058,MCH-008,2026-02-07 16:02:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,143.6,5614.75,3.3,TECH-009,low,CMMS
MT-000059,MCH-008,2026-04-13 07:31:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,92.32,6053.82,2.78,TECH-018,low,CMMS
MT-000060,MCH-008,2026-06-24 16:27:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,121.22,5356.25,3.5,TECH-018,low,CMMS
MT-000061,MCH-008,2025-09-07 14:44:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,422.43,20674.69,5.22,TECH-007,high,CMMS
MT-000062,MCH-008,2025-10-20 03:28:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,659.89,33776.42,10.79,TECH-009,high,CMMS
MT-000063,MCH-008,2026-05-28 21:10:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,545.89,11194.75,13.13,TECH-017,medium,CMMS
MT-000064,MCH-009,2025-10-09 14:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,81.31,6637.54,3.29,TECH-014,low,CMMS
MT-000065,MCH-009,2025-12-26 11:25:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,64.76,4105.99,2.38,TECH-013,low,CMMS
MT-000066,MCH-009,2026-03-03 18:08:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,75.66,1650.15,3.15,TECH-009,low,CMMS
MT-000067,MCH-009,2026-05-21 14:30:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,100.77,2920.62,2.42,TECH-011,low,CMMS
MT-000068,MCH-009,2026-07-29 12:41:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,91.69,4449.83,2.98,TECH-012,low,CMMS
MT-000069,MCH-009,2025-09-28 21:20:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,304.47,71090.09,12.17,TECH-010,critical,CMMS
MT-000070,MCH-009,2025-09-29 02:49:00,corrective,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,194.6,11813.31,11.24,TECH-006,high,CMMS
MT-000071,MCH-009,2026-05-30 21:45:00,emergency,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,405.27,31378.06,16.81,TECH-002,medium,CMMS
MT-000072,MCH-010,2025-09-09 10:56:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,99.08,5343.43,3.23,TECH-005,low,CMMS
MT-000073,MCH-010,2025-11-30 12:15:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,124.11,7809.36,3.31,TECH-011,low,CMMS
MT-000074,MCH-010,2026-02-15 14:35:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,164.51,4217.49,4.86,TECH-012,low,CMMS
MT-000075,MCH-010,2026-05-06 06:16:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,152.42,3379.4,3.75,TECH-017,low,CMMS
MT-000076,MCH-010,2026-07-12 14:43:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,172.79,8163.96,4.89,TECH-010,low,CMMS
MT-000077,MCH-010,2025-09-17 22:01:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,168.55,34646.39,14.53,TECH-016,medium,CMMS
MT-000078,MCH-010,2026-06-03 03:47:00,corrective,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,263.49,45064.02,11.49,TECH-007,medium,CMMS
MT-000079,MCH-011,2025-09-24 09:42:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,74.85,8437.7,1.54,TECH-004,low,CMMS
MT-000080,MCH-011,2025-12-04 15:24:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,63.7,4756.22,2.81,TECH-001,low,CMMS
MT-000081,MCH-011,2026-02-04 14:35:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,117.89,2315.3,5.13,TECH-004,low,CMMS
MT-000082,MCH-011,2026-04-04 06:54:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,109.75,8207.04,5.05,TECH-018,low,CMMS
MT-000083,MCH-011,2026-06-10 06:49:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,164.35,3484.05,4.17,TECH-007,low,CMMS
MT-000084,MCH-011,2026-02-10 18:07:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,636.51,23154.45,11.93,TECH-015,critical,CMMS
MT-000085,MCH-012,2025-10-03 07:34:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,128.31,2017.58,2.32,TECH-017,low,CMMS
MT-000086,MCH-012,2025-12-10 08:42:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,99.58,1832.58,2.27,TECH-017,low,CMMS
MT-000087,MCH-012,2026-03-02 15:26:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,60.86,4592.69,4.09,TECH-004,low,CMMS
MT-000088,MCH-012,2026-05-25 17:09:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,85.72,4225.95,5.49,TECH-018,low,CMMS
MT-000089,MCH-012,2025-12-08 15:33:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,436.79,5636.5,13.75,TECH-003,medium,CMMS
MT-000090,MCH-012,2026-01-10 14:29:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,878.26,40389.16,12.89,TECH-003,critical,CMMS
MT-000091,MCH-012,2026-04-07 07:57:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,655.45,37879.78,12.14,TECH-011,medium,CMMS
MT-000092,MCH-013,2025-08-23 12:25:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,46.91,2587.25,5.2,TECH-010,low,CMMS
MT-000093,MCH-013,2025-11-05 16:15:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,159.99,4342.41,2.78,TECH-008,low,CMMS
MT-000094,MCH-013,2026-01-21 13:54:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,166.93,7075.0,4.89,TECH-017,low,CMMS
MT-000095,MCH-013,2026-04-01 20:05:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,134.37,5525.23,4.87,TECH-013,low,CMMS
MT-000096,MCH-013,2026-06-13 19:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,138.98,2001.33,3.81,TECH-001,low,CMMS
MT-000097,MCH-013,2025-12-07 22:47:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,169.19,8042.06,4.1,TECH-003,medium,CMMS
MT-000098,MCH-013,2026-01-12 04:40:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,194.79,36422.67,3.16,TECH-004,medium,CMMS
MT-000099,MCH-013,2026-07-02 12:50:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,354.6,45302.35,3.08,TECH-012,critical,CMMS
MT-000100,MCH-013,2026-07-11 13:42:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,505.07,30472.05,9.25,TECH-006,medium,CMMS
MT-000101,MCH-014,2025-08-19 10:42:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,144.82,3199.94,2.93,TECH-004,low,CMMS
MT-000102,MCH-014,2025-10-08 07:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,154.02,1898.74,3.56,TECH-010,low,CMMS
MT-000103,MCH-014,2025-11-15 20:51:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,174.03,4069.87,3.77,TECH-010,low,CMMS
MT-000104,MCH-014,2026-01-04 18:47:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,121.57,7495.4,1.82,TECH-011,low,CMMS
MT-000105,MCH-014,2026-02-14 18:01:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,161.84,2550.88,3.94,TECH-015,low,CMMS
MT-000106,MCH-014,2026-03-31 17:44:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,158.87,8024.63,2.99,TECH-016,low,CMMS
MT-000107,MCH-014,2026-05-09 20:24:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,98.78,5865.22,4.03,TECH-011,low,CMMS
MT-000108,MCH-014,2026-07-03 12:30:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,52.83,7605.48,4.58,TECH-005,low,CMMS
MT-000109,MCH-014,2025-10-01 10:43:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,303.26,39336.45,15.66,TECH-018,medium,CMMS
MT-000110,MCH-014,2025-11-23 05:36:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,325.58,36567.74,12.34,TECH-011,critical,CMMS
MT-000111,MCH-014,2026-03-16 10:30:00,emergency,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,155.53,14970.44,17.73,TECH-014,medium,CMMS
MT-000112,MCH-015,2025-08-13 13:46:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,148.64,1994.47,4.96,TECH-002,low,CMMS
MT-000113,MCH-015,2025-11-05 17:30:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,162.97,6605.38,3.12,TECH-009,low,CMMS
MT-000114,MCH-015,2026-01-31 08:58:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,117.68,1584.86,3.47,TECH-004,low,CMMS
MT-000115,MCH-015,2026-04-16 06:26:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,111.03,1676.39,3.88,TECH-011,low,CMMS
MT-000116,MCH-015,2026-07-04 12:25:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,107.5,6734.08,4.96,TECH-002,low,CMMS
MT-000117,MCH-015,2025-10-09 09:30:00,corrective,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,534.08,17431.06,3.02,TECH-017,high,CMMS
MT-000118,MCH-015,2026-06-10 20:32:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,632.74,32000.4,9.23,TECH-005,medium,CMMS
MT-000119,MCH-016,2025-09-04 17:50:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,104.3,2901.02,4.94,TECH-018,low,CMMS
MT-000120,MCH-016,2025-10-21 07:12:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,131.93,5347.73,2.65,TECH-005,low,CMMS
MT-000121,MCH-016,2025-11-29 17:52:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,59.93,6795.75,2.96,TECH-006,low,CMMS
MT-000122,MCH-016,2026-01-09 14:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,49.83,6352.2,5.31,TECH-009,low,CMMS
MT-000123,MCH-016,2026-02-28 14:15:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,83.73,2136.82,1.82,TECH-008,low,CMMS
MT-000124,MCH-016,2026-04-07 18:36:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,59.79,7981.38,2.68,TECH-011,low,CMMS
MT-000125,MCH-016,2026-05-15 11:35:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,157.57,7627.54,1.74,TECH-015,low,CMMS
MT-000126,MCH-016,2026-07-07 09:23:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,163.78,1915.62,4.07,TECH-004,low,CMMS
MT-000127,MCH-016,2025-12-28 12:44:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,286.15,29061.89,5.07,TECH-010,high,CMMS
MT-000128,MCH-016,2026-03-30 21:33:00,corrective,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,611.01,33832.74,4.75,TECH-008,high,CMMS
MT-000129,MCH-017,2025-08-10 18:38:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,51.23,7843.07,4.98,TECH-013,low,CMMS
MT-000130,MCH-017,2025-09-18 10:31:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,84.29,6715.14,3.09,TECH-010,low,CMMS
MT-000131,MCH-017,2025-10-30 10:59:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,92.06,6878.49,3.22,TECH-004,low,CMMS
MT-000132,MCH-017,2025-12-16 16:43:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,56.43,6416.53,3.89,TECH-006,low,CMMS
MT-000133,MCH-017,2026-02-01 17:13:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,175.5,5740.83,4.39,TECH-013,low,CMMS
MT-000134,MCH-017,2026-03-11 13:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,136.04,2554.49,4.54,TECH-013,low,CMMS
MT-000135,MCH-017,2026-05-04 09:46:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,145.68,2761.39,2.4,TECH-016,low,CMMS
MT-000136,MCH-017,2026-06-29 08:41:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,112.97,1274.44,3.57,TECH-015,low,CMMS
